Year,Month,tmax(degC),tmin(degC),ppt(mm),aet(mm)
2013,10,14.8,6.8,20.4,24.1
2013,11,7.58,2.55,34.5,15.3
2013,12,4.96,0.47,24.5,13.6
2014,1,1.88,-2.79,37,1.4
2014,2,7.34,0.67,7,19.8
2014,3,11.33,2.46,30.7,38.5
2014,4,16.98,5.98,44.9,60.4
2014,5,19.03,8.54,85,88.9
2014,6,22.65,11.61,41.1,52.1
2014,7,27.38,16.13,95.6,97.2
2014,8,22.63,12.66,58.1,59.1
2014,9,20.28,10.88,51,51.1
2014,10,15.28,7.88,49.9,30.8
2014,11,8.41,3.85,10.6,11.9
2014,12,3.55,-0.71,44.8,9
2015,1,4.16,-0.11,48.4,14.2
2015,2,3.95,-2.09,7.3,6.2
2015,3,9.52,1.05,38.7,41.3
2015,4,14.74,3.85,21,56
2015,5,19.04,8.05,26.8,47.9
2015,6,22.2,11.32,45.8,52.2
2015,7,25.9,14.44,83.1,83.9
2015,8,27.21,14.52,26.7,28.6
2015,9,18.92,10.11,28.6,29.4
2015,10,11.82,4.5,34.9,33.4
2015,11,9.43,3.96,50.1,20.6
2015,12,7.76,2.94,22.2,21.5
2016,1,1.3,-3.9,33.7,0.7
2016,2,5.9,0.7,39.4,14.5
2016,3,7.7,0.5,33.5,31.4
2016,4,14.3,4.2,33,55.5
2016,5,21.8,9.9,28.5,61.5
2016,6,24.7,13.7,66.5,73.7
2016,7,25,14.9,84.4,85.7
2016,8,23.8,12.9,36.1,37.8
2016,9,22.7,11.8,18.8,20.3
2016,10,11.2,5.3,63.4,35
2016,11,5.9,0.9,35.2,14.8
2016,12,3.6,-0.8,40.4,6.1
2017,1,0.5,-5.2,24.2,0
2017,2,3.8,-1.9,27.4,6.8
2017,3,10.6,2.6,35.7,41.1
2017,4,13,3.7,36.4,57.3
2017,5,20.5,9.2,35,76.4
2017,6,24,13,106.4,111.2
2017,7,24.2,13.8,138.2,121.3
2017,8,24.6,13.5,67.1,76.2
2017,9,17.5,9.6,46.6,46.8
2017,10,14.2,7.8,78.2,40.5
2017,11,7.5,3.1,45.6,19.6
2017,12,4.2,0.1,33.8,12.5
2018,1,4.5,0.2,44.7,17.6
2018,2,0.4,-5.2,4.3,0
2018,3,4.6,-3,35.9,11.3
2018,4,18.6,7,27.9,72.3
2018,5,24,11.1,20.3,58.5
2018,6,24.9,13.7,29.6,39.1
2018,7,27,15.5,75.2,77.2
2018,8,26.9,15.3,18.7,21.3
2018,9,21.6,10.8,32.9,33.7
2018,10,15.7,5.9,25.3,25.9
2018,11,7.5,2.3,12.6,12.2
2018,12,4.6,0.6,48.2,15.3
2019,1,3.4,-1.8,44.2,5.3
2019,2,6.7,0.8,17.9,22.2
2019,3,10.5,3.1,40.7,44
2019,4,16.3,6.4,8.3,41
2019,5,18.5,7.3,52.2,59.9
2019,6,27.8,17.3,23.6,27.9
2019,7,25.2,14.7,36.1,37.8
2019,8,26.7,16,38.3,38.8
2019,9,18.9,9.7,54.8,53.8
2019,10,14,6.5,34.7,33.1
2019,11,8.4,3.4,35.3,14.8
2019,12,5.9,1.2,24.2,14.9
2020,1,5.9,0.6,36.6,26.6
2020,2,7.7,1.9,53.8,39.8
2020,3,8.5,1,25.1,32.7
2020,4,15.2,4.7,4.3,22.7
2020,5,17.7,6.5,42.2,48
2020,6,23.8,13.3,83.4,83.8
2020,7,24.2,13.4,47.9,48.5
2020,8,25.8,15.1,61.4,60.5
2020,9,20,10.7,36.9,36.7
2020,10,14.6,6.9,60.2,42.7
2020,11,8.8,3.6,13.6,15.7
2020,12,4.1,-0.5,24,13.3
2021,1,2.1,-3.2,49.7,0.7
2021,2,2,-3.8,30.1,1
2021,3,7.6,0.1,28.9,32.9
2021,4,12.1,1.6,34.7,54.5
2021,5,18.2,7,74.9,86.9
2021,6,25.7,15.2,42.9,70.2
2021,7,26.6,15.8,75.9,82
2021,8,23.1,12.4,61.1,63.4
2021,9,20.2,10.9,34.4,36.1
2021,10,13.8,6.1,26.2,27.1
2021,11,8.3,3.1,41.2,15
2021,12,1.5,-3.1,32.5,0.8
2022,1,4.5,-0.6,40.9,9
2022,2,7,1.1,59.9,22.3
2022,3,7.8,0,1.9,32.2
2022,4,13.6,3,29.5,53.4
2022,5,20.4,9.2,24.8,42.6
2022,6,25.1,14.4,61.5,66.4
2022,7,25.3,14.4,42.3,44.8
2022,8,27.1,16.2,76.7,75.9
2022,9,18,8.5,46.2,46
2022,10,15.6,7.9,44.3,31.7
2022,11,7.5,2.4,21.3,14.8
2022,12,3,-1.6,39.5,4.2
